Column,country,n
341,Palestine,1
342,Papua New Guinea,1
343,Portugal,2
344,Portugal,1
345,Senegal,2
346,Serbia,1
347,Serbia,1
348,Serbia,1
349,Slovakia,1
350,South Africa,1
351,Netherlands,2
352,Netherlands,1
353,Tunisia,2
354,UK,4
355,Ukraina,1
356,Ukraine,2
357,Vietnam,1
358,Brazil,1
359,Guinea,1
360,Lebanon,1
361,Netherlands,1
362,Uruguay,1
363,Venezuela,1
364,Kurdistan,1
365,Morocco,1
366,Cameroon,1
367,Netherlands,1
368,Romania,1
