"","headline.newstapa","link.newstapa","date.newstapa"
"59","국정원 계정 의혹 트위터 네트워크 ","http://newstapa.org/3366","2013. 4. 19"
"60","2013 고위공직자 재산 변동 및 공개 현황 ","http://newstapa.org/828","2013. 4. 5"
"61","박근혜 정부 초대 장관들의 재산 신고액 ","http://newstapa.org/770","2013. 3. 28"
"62","뉴스타파가 데이터 저널리즘에 기반 한 탐사보도를 선보입니다. ","http://newstapa.org/647","2013. 2. 28"
"63","제 18대 대통령 선거 여론조사 (휴대전화) ","http://newstapa.org/582","2012. 11. 30"
"64","제 18대 대통령 선거 여론조사 (유무선 50대50 복합) ","http://newstapa.org/581","2012. 11. 30"
"65","안철수 지지자 대상 지지 변화 여론조사 ","http://newstapa.org/580","2012. 11. 30"
"66","단일화 TV토론 영향 지지 후보별 변동 긴급 여론조사 ","http://newstapa.org/569","2012. 11. 23"
"67","현병철, 논문 중복 게재 의혹…과연 얼마나? ","http://newstapa.org/410","2012. 7. 18"
"68","반올림에서 2012/3/5 까지 집계한 반도체 전자산업 직업병 피해 제보자 현황 ","http://newstapa.org/328","2012. 5. 16"
"69","박근혜 피습 관련 자료 ","http://newstapa.org/239","2012. 4. 2"
"70","2008년 하명사건 처리부 ","http://newstapa.org/220","2012. 3. 30"
"71","국무총리실 공직윤리지원관실 내사 진행사항(11.9) ","http://newstapa.org/219","2012. 3. 30"
"72","국무총리실 공직윤리지원관실 내사진행사항 ","http://newstapa.org/218","2012. 3. 30"
"73","공직복무관리관실 예산과 인원 ","http://newstapa.org/217","2012. 3. 30"
"74","공직복무관리관실 문서생산목록 ","http://newstapa.org/216","2012. 3. 30"
"75","국무총리실 공직윤리지원관실 KBS 사찰 문건 ","http://newstapa.org/209","2012. 3. 30"
"76","국무총리실 공직윤리지원관실 YTN 사찰 문건 ","http://newstapa.org/204","2012. 3. 30"
"77","제주도청이 공개한 해군본부-제주도간 수발신 문서 목록 ","http://newstapa.org/201","2012. 3. 27"
"78","국무총리실 공직윤리지원관실 내사 진행사항(11.9) ","http://newstapa.org/219","2017. 7. 18"
"79","국무총리실 공직윤리지원관실 내사진행사항 ","http://newstapa.org/218","2017. 7. 18"
"80","공직복무관리관실 예산과 인원 ","http://newstapa.org/217","2017. 7. 17"
"81","공직복무관리관실 문서생산목록 ","http://newstapa.org/216","2017. 7. 13"
"82","국무총리실 공직윤리지원관실 KBS 사찰 문건 ","http://newstapa.org/209","2017. 7. 12"
"83","국무총리실 공직윤리지원관실 YTN 사찰 문건 ","http://newstapa.org/204","2017. 7. 12"
"84","제주도청이 공개한 해군본부-제주도간 수발신 문서 목록 ","http://newstapa.org/201","2017. 7. 11"
